controlled_company_number,controller_company_number,controller_name,notified_on,ceased_on,ceased,nature_of_control,legal_form,legal_authority,country_registered,place_registered,psc_kind,source_url,etag,depth_from_root
05543634,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,ownership-of-shares-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05543634/persons-with-significant-control/corporate-entity/qvMkVcflJVcdKNZtsOf1EpcSVlA,09afcc97bde63f53db5e10d2ef71d5fdf3fbf5af,3
05543634,01685693,Carillion Am Developments Limited,2018-02-22,2018-03-07,true,voting-rights-75-to-100-percent,Limited By Shares,United Kingdom (England),England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05543634/persons-with-significant-control/corporate-entity/qvMkVcflJVcdKNZtsOf1EpcSVlA,09afcc97bde63f53db5e10d2ef71d5fdf3fbf5af,3
07017401,08113991,Amber Lep Investments Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07017401/persons-with-significant-control/corporate-entity/yhI09EJ9J6OA-v86Z7RkZFSzuNo,be93c184dd924d4ee8e89031b2230856ca153bc1,3
07017401,08113991,Amber Lep Investments Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07017401/persons-with-significant-control/corporate-entity/yhI09EJ9J6OA-v86Z7RkZFSzuNo,be93c184dd924d4ee8e89031b2230856ca153bc1,3
01123611,01808326,Am Nominees Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01123611/persons-with-significant-control/corporate-entity/6hxpubBwyzBHgFU_4qJYD3eOAK8,079a082a3f2164eefc842c657d09c1090f3937e6,3
01123611,01808326,Am Nominees Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01123611/persons-with-significant-control/corporate-entity/6hxpubBwyzBHgFU_4qJYD3eOAK8,079a082a3f2164eefc842c657d09c1090f3937e6,3
01123611,01808326,Am Nominees Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01123611/persons-with-significant-control/corporate-entity/6hxpubBwyzBHgFU_4qJYD3eOAK8,079a082a3f2164eefc842c657d09c1090f3937e6,3
02519780,00594581,Carillion Construction Limited,2016-04-06,,false,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02519780/persons-with-significant-control/corporate-entity/5ktXLhoYXF9dGcjOBDhzpzRyw7w,e3217bc9605641724d37ea37bd83bf05e9888266,2
02519780,00594581,Carillion Construction Limited,2016-04-06,,false,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02519780/persons-with-significant-control/corporate-entity/5ktXLhoYXF9dGcjOBDhzpzRyw7w,e3217bc9605641724d37ea37bd83bf05e9888266,2
08121731,08113991,Amber Lep Investments Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08121731/persons-with-significant-control/corporate-entity/K8tmQEM7upOiYAUdcGB3uMInEto,f2914a7d63a1e994c557d5e908dd5fb1d0bc4b6e,3
08121731,08113991,Amber Lep Investments Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08121731/persons-with-significant-control/corporate-entity/K8tmQEM7upOiYAUdcGB3uMInEto,f2914a7d63a1e994c557d5e908dd5fb1d0bc4b6e,3
08113991,02997859,Carillion Private Finance Limited,2016-04-06,2018-09-03,true,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08113991/persons-with-significant-control/corporate-entity/uc4KsgdsENBQ597qJfCsBCVmAuM,8074222b8a5998e453d5a92a8222649f199563c6,2
08113991,02997859,Carillion Private Finance Limited,2016-04-06,2018-09-03,true,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08113991/persons-with-significant-control/corporate-entity/uc4KsgdsENBQ597qJfCsBCVmAuM,8074222b8a5998e453d5a92a8222649f199563c6,2
02630590,03782379,Carillion Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02630590/persons-with-significant-control/corporate-entity/B9Sv34yAahMF2l-6SvfVF-20MhI,2be153615b960f06e79d651b20e4d70677c69ced,1
02630590,03782379,Carillion Plc,2016-04-06,,false,right-to-appoint-and-remove-directors,Public Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02630590/persons-with-significant-control/corporate-entity/B9Sv34yAahMF2l-6SvfVF-20MhI,2be153615b960f06e79d651b20e4d70677c69ced,1
02630590,03782379,Carillion Plc,2016-04-06,,false,voting-rights-75-to-100-percent,Public Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02630590/persons-with-significant-control/corporate-entity/B9Sv34yAahMF2l-6SvfVF-20MhI,2be153615b960f06e79d651b20e4d70677c69ced,1
08987222,08084031,Ask Real Estate Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08987222/persons-with-significant-control/corporate-entity/AHxWFNd69y55PkL0dvOt9Q4gjm4,81b0f3a3ce1db1d46c5584a2994f24a1f101146c,3
08987222,08084031,Ask Real Estate Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08987222/persons-with-significant-control/corporate-entity/AHxWFNd69y55PkL0dvOt9Q4gjm4,81b0f3a3ce1db1d46c5584a2994f24a1f101146c,3
05052745,03485972,Wyseproperty,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Unlimited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05052745/persons-with-significant-control/corporate-entity/OYNML5yEXoClunfDF0W6LxY4jo8,7c90357123dd32a48281375897742411dbaed7d4,4
05052745,03485972,Wyseproperty,2016-04-06,,false,voting-rights-75-to-100-percent,Private Unlimited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05052745/persons-with-significant-control/corporate-entity/OYNML5yEXoClunfDF0W6LxY4jo8,7c90357123dd32a48281375897742411dbaed7d4,4
07966837,03783019,Carillion Holdings Limited,2016-04-06,2018-02-06,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07966837/persons-with-significant-control/corporate-entity/y6nsjube1IclGoiKcn5K1BoZa70,62da75a2819878deb3f52e510d90bc55c749203f,2
07966837,03783019,Carillion Holdings Limited,2016-04-06,2018-02-06,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/07966837/persons-with-significant-control/corporate-entity/y6nsjube1IclGoiKcn5K1BoZa70,62da75a2819878deb3f52e510d90bc55c749203f,2
SC102827,03858865,Carillion Energy Services Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited Company,English,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC102827/persons-with-significant-control/corporate-entity/Raor1QpQA4xHt0M0zwSfASOTxgM,0167fc4646e0ed2f190bbf14b6d8809af8e96f5a,2
SC102827,03858865,Carillion Energy Services Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited Company,English,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC102827/persons-with-significant-control/corporate-entity/Raor1QpQA4xHt0M0zwSfASOTxgM,0167fc4646e0ed2f190bbf14b6d8809af8e96f5a,2
SC102827,03858865,Carillion Energy Services Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited Company,English,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC102827/persons-with-significant-control/corporate-entity/Raor1QpQA4xHt0M0zwSfASOTxgM,0167fc4646e0ed2f190bbf14b6d8809af8e96f5a,2
OC437891,07211684,Pfp-Igloo (General Partner) Limited,2021-06-14,,false,right-to-share-surplus-assets-25-to-50-percent-limited-liability-partnership,Corporate,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC437891/persons-with-significant-control/corporate-entity/Kwy17jh1kqTQZvBT-vQMkdYiVDE,67eac6cfb9482a50a54b34db6a9f09a7c32b08fc,3
OC437891,07211684,Pfp-Igloo (General Partner) Limited,2021-06-14,,false,voting-rights-25-to-50-percent-limited-liability-partnership,Corporate,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC437891/persons-with-significant-control/corporate-entity/Kwy17jh1kqTQZvBT-vQMkdYiVDE,67eac6cfb9482a50a54b34db6a9f09a7c32b08fc,3
OC437891,OC432564,Stephenson Works Llp,2021-06-14,,false,right-to-share-surplus-assets-25-to-50-percent-limited-liability-partnership,Corporate,Limited Liability Partnerships Act 2000,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC437891/persons-with-significant-control/corporate-entity/YdE78EbEzex73uggY4I4e-Xh-68,9fa38ee0c929828d516dd9be58f66f0828d0c583,3
OC437891,OC432564,Stephenson Works Llp,2021-06-14,,false,voting-rights-25-to-50-percent-limited-liability-partnership,Corporate,Limited Liability Partnerships Act 2000,England And Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/OC437891/persons-with-significant-control/corporate-entity/YdE78EbEzex73uggY4I4e-Xh-68,9fa38ee0c929828d516dd9be58f66f0828d0c583,3
05428762,03783019,Carillion Holdings Limited,2016-04-06,2018-08-29,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05428762/persons-with-significant-control/corporate-entity/SBle0GovYsuU7-9wN27fdzbo7Rk,df1dde51c6e1b7b3a9ea638b0deae5f742a04472,2
05428762,03783019,Carillion Holdings Limited,2016-04-06,2018-08-29,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05428762/persons-with-significant-control/corporate-entity/SBle0GovYsuU7-9wN27fdzbo7Rk,df1dde51c6e1b7b3a9ea638b0deae5f742a04472,2
01685693,01367044,Carillion (Am) Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01685693/persons-with-significant-control/corporate-entity/q_bvarZNUt_G7IrLIftFTWmQAfE,cade4edccb3bf5fd31bc2790fc14bc56cacecd45,2
01685693,01367044,Carillion (Am) Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01685693/persons-with-significant-control/corporate-entity/q_bvarZNUt_G7IrLIftFTWmQAfE,cade4edccb3bf5fd31bc2790fc14bc56cacecd45,2
01685693,01367044,Carillion (Am) Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/01685693/persons-with-significant-control/corporate-entity/q_bvarZNUt_G7IrLIftFTWmQAfE,cade4edccb3bf5fd31bc2790fc14bc56cacecd45,2
05428732,03783019,Carillion Holdings Limited,2016-04-06,2018-08-29,true,ownership-of-shares-50-to-75-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05428732/persons-with-significant-control/corporate-entity/54ZrRjhA8UN-5Gn2vLDMqTcwCcg,643acdc3fe56f8f9d1e0dcbeeecc9caf1b0d7318,2
05428732,03783019,Carillion Holdings Limited,2016-04-06,2018-08-29,true,voting-rights-50-to-75-percent,Private Limited Company,Companies Act 2006,England & Wales,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05428732/persons-with-significant-control/corporate-entity/54ZrRjhA8UN-5Gn2vLDMqTcwCcg,643acdc3fe56f8f9d1e0dcbeeecc9caf1b0d7318,2
14652635,14419831,Pfp-Igloo Developments Limited,2023-03-31,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,United Kingdom,Companies Registry England And Wales,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14652635/persons-with-significant-control/corporate-entity/Tv6q97OPie6fyWsllUilaLEvrDo,c517ac473baf9fb7e54b9ba6ebe613f42eb7c2f7,4
14652635,14419831,Pfp-Igloo Developments Limited,2023-03-31,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,United Kingdom,Companies Registry England And Wales,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14652635/persons-with-significant-control/corporate-entity/Tv6q97OPie6fyWsllUilaLEvrDo,c517ac473baf9fb7e54b9ba6ebe613f42eb7c2f7,4
14652635,14419831,Pfp-Igloo Developments Limited,2023-03-31,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,United Kingdom,Companies Registry England And Wales,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/14652635/persons-with-significant-control/corporate-entity/Tv6q97OPie6fyWsllUilaLEvrDo,c517ac473baf9fb7e54b9ba6ebe613f42eb7c2f7,4
05477550,00247624,Carillion Capital Projects Limited,2016-04-06,2018-02-22,true,ownership-of-shares-25-to-50-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05477550/persons-with-significant-control/corporate-entity/XPBZMS6LPGn-T9YhftuUISC1ES8,927344a8b7caa2508ce3e06a66d03139ca5d9c7e,3
05477550,00247624,Carillion Capital Projects Limited,2016-04-06,2018-02-22,true,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05477550/persons-with-significant-control/corporate-entity/XPBZMS6LPGn-T9YhftuUISC1ES8,927344a8b7caa2508ce3e06a66d03139ca5d9c7e,3
05477550,00247624,Carillion Capital Projects Limited,2016-04-06,2018-02-22,true,voting-rights-25-to-50-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/05477550/persons-with-significant-control/corporate-entity/XPBZMS6LPGn-T9YhftuUISC1ES8,927344a8b7caa2508ce3e06a66d03139ca5d9c7e,3
03392601,00077628,Carillion Jm Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03392601/persons-with-significant-control/corporate-entity/3mTGlCtVA5lsPYboh7749kz-Js8,14a38c61e332cfa08106051c0d77aea3d730b72e,2
03392601,00077628,Carillion Jm Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03392601/persons-with-significant-control/corporate-entity/3mTGlCtVA5lsPYboh7749kz-Js8,14a38c61e332cfa08106051c0d77aea3d730b72e,2
03392601,00077628,Carillion Jm Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/03392601/persons-with-significant-control/corporate-entity/3mTGlCtVA5lsPYboh7749kz-Js8,14a38c61e332cfa08106051c0d77aea3d730b72e,2
08113900,08114163,Inspiredspaces Rochdale (Psp3) Limited,2016-04-06,2016-12-31,true,ownership-of-shares-50-to-75-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08113900/persons-with-significant-control/corporate-entity/1Aotrgvu8qzEHT4l6N5-__ijWik,61c8f5933879d46768b80e69a301085572d4cfe8,4
08113900,08114163,Inspiredspaces Rochdale (Psp3) Limited,2016-04-06,2016-12-31,true,right-to-appoint-and-remove-directors,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08113900/persons-with-significant-control/corporate-entity/1Aotrgvu8qzEHT4l6N5-__ijWik,61c8f5933879d46768b80e69a301085572d4cfe8,4
08113900,08114163,Inspiredspaces Rochdale (Psp3) Limited,2016-04-06,2016-12-31,true,voting-rights-50-to-75-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08113900/persons-with-significant-control/corporate-entity/1Aotrgvu8qzEHT4l6N5-__ijWik,61c8f5933879d46768b80e69a301085572d4cfe8,4
08705990,03787277,Carillion Nominees Limited,2017-05-18,,false,ownership-of-shares-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08705990/persons-with-significant-control/corporate-entity/-czl2lzNnSZFOoGujrKq9_4hO1Y,f690410a41f12277dc96ec0ba0f78f11983bba7d,2
08705990,03787277,Carillion Nominees Limited,2017-05-18,,false,voting-rights-75-to-100-percent,Private Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/08705990/persons-with-significant-control/corporate-entity/-czl2lzNnSZFOoGujrKq9_4hO1Y,f690410a41f12277dc96ec0ba0f78f11983bba7d,2
02646690,03782379,Carillion Plc,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Public Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02646690/persons-with-significant-control/corporate-entity/sH7bQ-c5tmj5Rs8JI_UgBWgY7nA,5970cbd2355053bbd76574e3a8b17274ea5a90c4,1
02646690,03782379,Carillion Plc,2016-04-06,,false,voting-rights-75-to-100-percent,Public Limited Company,Companies Act 2006,England,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/02646690/persons-with-significant-control/corporate-entity/sH7bQ-c5tmj5Rs8JI_UgBWgY7nA,5970cbd2355053bbd76574e3a8b17274ea5a90c4,1
SC489636,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,ownership-of-shares-75-to-100-percent,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489636/persons-with-significant-control/corporate-entity/sX-vmT42SRL5wyT2oeRbLmiUtPs,b47fc0c14143b2c085e4d266f5ff3fb64897f425,4
SC489636,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,right-to-appoint-and-remove-directors,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489636/persons-with-significant-control/corporate-entity/sX-vmT42SRL5wyT2oeRbLmiUtPs,b47fc0c14143b2c085e4d266f5ff3fb64897f425,4
SC489636,SC489526,Aberdeen Roads Holdings Limited,2016-04-06,,false,voting-rights-75-to-100-percent,Limited By Shares,United Kingdom (Scotland),Scotland,Companies House,corporate-entity-person-with-significant-control,https://api.company-information.service.gov.uk/company/SC489636/persons-with-significant-control/corporate-entity/sX-vmT42SRL5wyT2oeRbLmiUtPs,b47fc0c14143b2c085e4d266f5ff3fb64897f425,4
